SHE,Saint Helena,Saint Helena,-15.961,354.253,imo,Kyo
IZN,Iznik,Turkey,40.5,29.72,imo,Edi
SUA,Surlari,Romania,44.68,26.25,imo,Par
VSS,Vassouras,Brazil,-22.4,316.35,imo,Par
